
 .... [TRUNCATED] 
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< 
 > Dato                                      :  Fri Nov 28 14:37:03 2014 
 > Slag                                      :  UP 
 > Ár                                        :  2013 
 > Skipabólk/-ar                             :  18 19 20 
 > Byrjanar og enda mánaŵ fyri ALK/ALD       :  JAN-DEC 
 > Skipabólk/-ar, sum longdir eru lántar frá :  0 
 > Skipabólk/-ar, sum vektir eru lántar frá  :  0 
 > Skipabólk/-ar, sum aldrar eru lántar frá  :  0 
 > ICES-øki                                  :  VB1 
 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
 .... [TRUNCATED] 
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
> Alpha	 = 0.01474686
> Beta	 = 2.856893
> R^2	 = 0.9661737
> N	 = 14400
> Veida (kg.)	  = 13181943
> Rundveida (kg.) = 14631957
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
 .... [TRUNCATED] 
>>>>>>>>>>>>>> 	 ALK-lykil 	 <<<<<<<<<<<<
 .... [TRUNCATED] 
$ALK
    longd 0 1 2  3  4  5  6 7 8 9 10 11 12 13 14 15 Sum Matad
106   106 0 0 0  0  0  0  0 0 0 0  0  0  1  0  0  0   1     4
107   107 0 0 0  0  0  0  0 0 0 0  0  0  0  0  0  0   0     0
108   108 0 0 0  0  0  0  0 0 0 0  0  0  0  0  0  0   0     0
109   109 0 0 0  0  0  0  0 0 0 0  0  0  0  0  0  0   0     0
110   110 0 0 0  0  0  0  0 0 0 0  0  0  0  0  0  0   0     1
111   111 0 0 0  0  0  0  0 0 0 0  0  0  0  0  0  0   0     1
112   112 0 0 0  0  0  0  0 0 0 0  0  0  0  0  0  0   0     0
113   113 0 0 0  0  0  0  0 0 0 0  0  0  0  1  0  0   1     2
114   114 0 0 0  0  0  0  0 0 0 0  0  0  0  0  0  0   0     0
115   115 0 0 0  0  0  0  0 0 0 0  0  0  0  0  0  0   0     0
116   116 0 0 0  0  0  0  0 0 0 0  0  0  0  0  0  0   0     1
117   117 0 0 0  0  0  0  0 0 0 0  0  0  0  0  0  0   0     0
118   118 0 0 0  0  0  0  0 0 0 0  0  0  0  0  0  0   0     0
119   119 0 0 0  0  0  0  0 0 0 0  0  0  0  0  0  0   0     0
120   120 0 0 0  0  0  0  0 0 0 0  0  0  0  0  0  0   0     0
121   121 0 0 0  0  0  0  0 0 0 0  0  0  0  0  0  0   0     0
122   122 0 0 0  0  0  0  0 0 0 0  0  0  0  0  0  0   0     1
