
 .... [TRUNCATED] 
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< 
 > Dato                                      :  Wed Dec  3 14:51:17 2014 
 > Slag                                      :  HY 
 > Ár                                        :  2014 
 > Skipabólk/-ar                             :  19 
 > Byrjanar og enda mánaŵ fyri ALK/ALD       :  JAN-DEC 
 > Skipabólk/-ar, sum longdir eru lántar frá :  0 
 > Skipabólk/-ar, sum vektir eru lántar frá  :  0 
 > Skipabólk/-ar, sum aldrar eru lántar frá  :  0 
 > ICES-øki                                  :  VB1 
 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
 .... [TRUNCATED] 
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
> Alpha	 = 0.01323203
> Beta	 = 2.890818
> R^2	 = 0.9409243
> N	 = 3194
> Veida (kg.)	  = 44444
> Rundveida (kg.) = 49332.84
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
 .... [TRUNCATED] 
>>>>>>>>>>>>>> 	 ALK-lykil 	 <<<<<<<<<<<<
 .... [TRUNCATED] 
$ALK
    longd 0 1 2 3 4  5 6 7 8 9 10 11 12 13 14 15 Sum Matad
35     35 0 0 0.096 0.006 0.038 0.008 0.001 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.149     6
36     36 0 0 0.188 0.019 0.073 0.018 0.001 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.299    12
37     37 0 0 0.293 0.056 0.136 0.036 0.002 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.523    18
38     38 0 0 0.366 0.147 0.239 0.071 0.003 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.826    12
39     39 0 0 0.366 0.342 0.400 0.133 0.005 0.000 0.000 0.000 0.001 0.000  0  0  0  0  1.248    21
40     40 0 0 0.293 0.717 0.638 0.239 0.008 0.000 0.000 0.000 0.001 0.000  0  0  0  0  1.895    41
41     41 0 0 0.188 1.343 0.965 0.410 0.012 0.000 0.000 0.000 0.002 0.000  0  0  0  0  2.921    62
42     42 0 0 0.096 2.255 1.389 0.674 0.018 0.000 0.000 0.000 0.004 0.000  0  0  0  0  4.436    84
43     43 0 0 0.040 3.390 1.900 1.059 0.027 0.000 0.000 0.000 0.007 0.000  0  0  0  0  6.422   103
44     44 0 0 0.013 4.565 2.470 1.593 0.039 0.000 0.000 0.000 0.011 0.000  0  0  0  0  8.692   129
